Year,State,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1992,LA,6698,26584,34162,35404,32528,32771,32386,35608,34354,29814,24111,19419,16960,16661,15252,12550,9101,5936,4521
1992,MA,8440,34490,39118,36124,35244,49653,53316,54426,49567,44255,36866,27495,24027,24835,24525,21545,16682,11140,9649
1992,MD,7580,30483,35003,32282,29655,34438,42530,46963,42686,38516,32379,24752,20183,19158,17560,14557,10204,6308,5009
1992,ME,1537,6754,8845,8710,8250,8393,8617,10470,10498,9674,7739,5831,5269,5407,5077,4313,3276,2233,1934
1992,MI,13943,57506,69246,68790,65812,70832,71886,80700,78768,70335,57400,45272,38720,38940,36351,30102,22504,13933,11276
1992,MN,6307,26808,34797,34062,29306,30661,34942,41071,37967,33275,26137,20435,17231,16747,15765,13776,11236,7765,7132
1992,MO,7293,29818,37435,37913,34791,36569,38527,43856,41034,36406,30556,25117,22302,22249,21378,18176,14276,10058,8508
1992,MS,3994,15759,19879,21663,21119,21396,18305,19885,19509,17371,14250,11917,10715,10397,9715,8223,6355,4288,3326
1992,MT,1038,4640,6430,6663,5918,4909,4825,6361,6995,6399,4982,3909,3373,3363,3114,2835,2205,1405,1078
1992,NC,9723,38946,45037,45067,46037,58010,56137,58687,55957,50624,42459,33511,29873,28817,27388,22443,16352,10164,7544
1992,ND,769,3492,4837,4934,4496,4823,4426,5003,5097,4333,3280,2618,2521,2574,2412,2191,1885,1363,1161
1992,NE,2149,9287,12240,12313,11138,11013,11356,13209,12806,11456,8887,7049,6498,6621,6233,5440,4375,3175,2966
1992,NH,1553,6789,8305,7688,6826,7938,8502,10499,10108,8928,7153,5137,4335,4245,3985,3365,2550,1686,1451
1992,NJ,11691,46113,51377,49922,48820,52682,63348,71545,65984,58955,50899,39663,34057,35060,32883,28266,20969,13248,10101
1992,NM,2642,10475,13140,13135,11825,10743,11545,13572,12892,11553,9061,7137,6249,6095,5524,4530,3267,2076,1499
1992,NV,2098,8319,9480,8780,7872,8920,11938,12938,11532,10097,8624,7014,5992,5665,5463,4229,2694,1379,891
1992,NY,27927,108614,120936,118074,116284,137544,151093,160756,147057,133570,111892,90396,78596,79733,72718,60924,46507,30886,25498
1992,OH,15787,63462,78441,79509,75294,80444,81437,92123,89788,81113,65649,54054,47501,47995,45577,38059,28237,17764,14554
1992,OK,4404,18274,23863,24393,22878,23219,22479,25971,25021,22144,18866,15360,13863,13379,12851,10767,8211,5882,4766
1992,OR,4016,16815,21374,21855,19698,19562,20545,24311,26015,24575,19382,14337,11745,11713,12044,10666,8288,5344,4200
1992,PA,15930,65509,80162,79129,76266,87838,85542,97465,96828,87067,72090,58200,53020,57731,57345,49856,37936,23743,18336
1992,RI,1416,5648,6435,6175,6054,8952,7992,8634,8255,7174,5953,4500,4012,4378,4498,3992,3048,2016,1662
1992,SC,5328,21563,25449,26244,26305,29848,28546,29980,29019,26422,21891,17240,15250,14480,13897,11356,7908,4758,3363
1992,SD,970,4273,5705,5909,5106,4709,4680,5466,5429,4694,3586,2890,2778,2915,2795,2495,2011,1412,1303
1992,TN,7004,27976,33725,35304,34849,38204,39153,41698,40654,37476,31548,25503,22276,21293,19783,16519,12418,8277,6266
1992,TX,30643,116874,141189,139748,130014,135848,147558,161864,147256,124893,100642,76869,66085,62390,57263,46130,33924,22616,17793
1992,UT,3538,13712,17335,19261,16871,15220,14223,14412,13588,11381,8817,6721,5745,5383,4965,4236,3144,2024,1505
1992,VA,9073,37041,43601,42412,41191,51163,55197,58354,54674,49259,41570,31518,25939,24266,22371,18429,13025,8150,6266
1992,VT,733,3284,4215,4043,3687,4592,3959,4736,5052,4626,3688,2676,2245,2239,2045,1732,1320,901,790
1992,WA,7705,31221,38670,37731,33294,35326,39822,46521,46102,41173,33094,24167,19684,18921,18043,15887,11845,7651,6033
1992,WI,6607,28612,37940,37860,34055,36090,37530,42604,41191,36637,29064,23023,20274,20606,19251,16707,13583,9082,7808
1992,WV,2096,8405,11036,13016,13568,13065,11190,13161,14312,13853,11076,9285,8445,8751,8503,7025,5350,3462,2609
1992,WY,611,2662,3807,4097,3601,2915,2771,3872,4235,3684,2787,2130,1782,1739,1539,1241,931,588,458
1993,AK,990,4448,5366,4967,4115,3764,4585,6245,6315,5421,3890,2739,1868,1360,1000,689,392,195,119
1993,AL,5788,23714,28667,30901,30981,32652,30105,32956,33381,30117,25775,21470,18911,17851,16826,14210,10524,7076,5360
1993,AR,3188,13699,17062,18446,18032,17300,16276,18443,18262,16790,14777,12500,10850,10466,10505,9175,7116,4892,3811
1993,AZ,6689,26328,30117,29677,27075,29633,31926,35223,32112,27990,23058,18707,15862,15850,17130,15199,11086,6704,4706
